,Price,Area,rooms,type,Date,City,District,price_per_m2
686,61500.0,91.0,4,new,"June 25, 2023",Tashkent,Sergeli district,675.82
687,67500.0,92.0,4,new,"June 25, 2023",Tashkent,Yunusabad district,733.7
688,85500.0,92.0,4,new,"June 25, 2023",Tashkent,Mirzo-Ulugbek district,929.35
689,81999.0,92.0,4,new,"June 25, 2023",Tashkent,Mirzo-Ulugbek district,891.29
690,79000.0,78.0,4,new,"June 25, 2023",Tashkent,Mirzo-Ulugbek district,1012.82
691,76000.0,89.75,4,new,"June 25, 2023",Tashkent,Sergeli district,846.8
692,72000.0,92.0,4,new,"June 25, 2023",Tashkent,Mirzo-Ulugbek district,782.61
693,109900.0,92.0,4,new,"June 25, 2023",Tashkent,Mirzo-Ulugbek district,1194.57
694,72000.0,84.0,4,new,"June 25, 2023",Tashkent,Yunusabad district,857.14
695,105000.0,103.0,4,new,"June 25, 2023",Tashkent,Yunusabad district,1019.42
696,100000.0,80.0,4,new,"June 25, 2023",Tashkent,Yunusabad district,1250.0
697,92000.0,110.0,4,new,"June 25, 2023",Tashkent,Mirzo-Ulugbek district,836.36
698,72500.0,98.0,4,new,"June 25, 2023",Tashkent,Sergeli district,739.8
699,95000.0,81.0,4,new,"June 25, 2023",Tashkent,Yunusabad district,1172.84
700,83000.0,96.0,4,new,"June 25, 2023",Tashkent,Uchtepinsky district,864.58
701,67000.0,94.0,4,new,"June 25, 2023",Tashkent,Sergeli district,712.77
702,130000.0,130.0,4,new,"June 25, 2023",Tashkent,Chilanzar district,1000.0
703,82000.0,100.0,4,new,"June 25, 2023",Tashkent,Mirzo-Ulugbek district,820.0
704,125000.0,103.0,4,new,"June 25, 2023",Tashkent,Mirzo-Ulugbek district,1213.59
705,120000.0,90.0,4,new,"June 25, 2023",Tashkent,Shaikhantahur district,1333.33
706,66500.0,70.0,4,new,"June 25, 2023",Tashkent,Yunusabad district,950.0
707,150000.0,100.0,4,new,"June 25, 2023",Tashkent,Chilanzar district,1500.0
708,69000.0,96.0,4,new,"June 25, 2023",Tashkent,Sergeli district,718.75
709,75000.0,70.0,4,new,"June 25, 2023",Tashkent,Chilanzar district,1071.43
710,105000.0,80.0,4,new,"June 25, 2023",Tashkent,Chilanzar district,1312.5
711,133000.0,125.0,4,new,"June 25, 2023",Tashkent,Chilanzar district,1064.0
712,130000.0,100.0,4,new,"June 25, 2023",Tashkent,Shaikhantahur district,1300.0
713,130000.0,98.0,4,new,"June 25, 2023",Tashkent,Mirzo-Ulugbek district,1326.53
714,94000.0,80.0,4,new,"June 25, 2023",Tashkent,Mirzo-Ulugbek district,1175.0
715,80000.0,82.0,4,new,"June 25, 2023",Tashkent,Shaikhantahur district,975.61
716,88000.0,100.0,4,new,"June 25, 2023",Tashkent,Chilanzar district,880.0
717,100000.0,88.0,4,new,"June 25, 2023",Tashkent,Shaikhantahur district,1136.36
718,130000.0,90.0,4,new,"June 25, 2023",Tashkent,Yunusabad district,1444.44
719,101000.0,85.0,4,new,"June 25, 2023",Tashkent,Mirabad district,1188.24
720,93000.0,81.0,4,new,"June 25, 2023",Tashkent,Yunusabad district,1148.15
721,115000.0,133.0,4,new,"June 25, 2023",Tashkent,Chilanzar district,864.66
722,85000.0,83.0,4,new,"June 25, 2023",Tashkent,Shaikhantahur district,1024.1
723,65000.0,50.0,4,new,"June 25, 2023",Tashkent,Chilanzar district,1300.0
724,113000.0,84.0,4,new,"June 25, 2023",Tashkent,Chilanzar district,1345.24
725,93000.0,100.0,4,new,"June 25, 2023",Tashkent,Mirzo-Ulugbek district,930.0
726,83000.0,100.0,4,new,"June 25, 2023",Tashkent,Chilanzar district,830.0
727,87000.0,84.0,4,new,"June 25, 2023",Tashkent,Chilanzar district,1035.71
728,110000.0,100.0,4,new,"June 25, 2023",Tashkent,Yashnabad district,1100.0
729,90000.0,92.0,4,new,"June 25, 2023",Tashkent,Yunusabad district,978.26
730,83000.0,96.0,4,new,"June 25, 2023",Tashkent,Yunusabad district,864.58
731,85000.0,108.0,4,new,"June 25, 2023",Tashkent,Sergeli district,787.04
732,115000.0,130.0,4,new,"June 25, 2023",Tashkent,Shaikhantahur district,884.62
733,105000.0,100.0,4,new,"June 25, 2023",Tashkent,Mirabad district,1050.0
734,120000.0,100.0,4,new,"June 25, 2023",Tashkent,Mirzo-Ulugbek district,1200.0
735,86000.0,112.0,4,new,"June 25, 2023",Tashkent,Sergeli district,767.86
736,89000.0,86.38,4,new,"June 25, 2023",Tashkent,Mirzo-Ulugbek district,1030.33
737,121000.0,90.0,4,new,"June 25, 2023",Tashkent,Mirabad district,1344.44
738,95000.0,97.0,4,new,"June 25, 2023",Tashkent,Yashnabad district,979.38
739,87000.0,99.0,4,new,"June 25, 2023",Tashkent,Yunusabad district,878.79
740,125000.0,92.0,4,new,"June 25, 2023",Tashkent,Mirzo-Ulugbek district,1358.7
741,110000.0,77.0,4,new,"June 25, 2023",Tashkent,Mirzo-Ulugbek district,1428.57
742,67000.0,100.0,4,new,"June 25, 2023",Tashkent,Yashnabad district,670.0
743,101000.0,95.0,4,new,"June 25, 2023",Tashkent,Mirabad district,1063.16
744,85000.0,115.0,4,new,"June 25, 2023",Tashkent,Yunusabad district,739.13
745,105000.0,112.0,4,new,"June 25, 2023",Tashkent,Yashnabad district,937.5
746,111000.0,115.0,4,new,"June 25, 2023",Tashkent,Yakkasarai district,965.22
